"Source:","/home/mikolaj/projects/MR-SLDR/hardware/MR-SLDR-01/MR-SLDR-01.kicad_sch"
"Date:","pią, 2 cze 2023, 03:15:36"
"Tool:","Eeschema 7.0.2-6a45011f42~172~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","139"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD","Sim.Device","Sim.Pins","Sim.Type"
"36","1","R13","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"37","4","R17, R18, R22, R23","5m","Device:R","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","","","","","","",""
"38","1","R21","1.8k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"39","4","R24, R39, R40, R48","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"40","1","R25","11k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"41","1","R27","24k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"42","1","R28","47k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"43","1","R29","4,7k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"44","2","R36, R37","100m","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","",""
"45","3","R45, R46, R49","none","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"46","1","RN1","1k","Device:R_Pack04","Resistor_SMD:R_Array_Convex_4x1206","~","","","","","","","",""
"47","1","RV1","100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","","","","","","","",""
"48","1","TP1","+3.3V","Connector:TestPoint","TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm","~","","","","","","","",""
"49","1","TP2","+12V","Connector:TestPoint","TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm","~","","","","","","","",""
"50","1","U1","BM3451","BM3451:BM3451(20pin)","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","","","","","","","","",""
"51","1","U2","~","axelite:AX3007ESA","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","","","","","","","","",""
"52","1","U3","~","axelite:AX5201","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","","","","","","","","",""
"53","1","U4","ESP32-WROOM-E","Espressif:ESP32-WROOM-E","Espressif:ESP32-WROOM-32E","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf","","","","","","","",""
"54","1","U5","CP2102N-Axx-xQFN28","Interface_USB:CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","","","","","","","",""
"55","1","U6","DRV8825","DRV8825:DRV8825","Package_SO:HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_ThermalVias","","","","","","","","",""
"56","1","U7","93CxxC","Memory_EEPROM:93CxxC","Package_SO:SO-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001749K.pdf","","","","","","","",""
"57","2","U8, U9","PC817","Isolator:PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","","","","","","","",""
